,stimulus,modtheta,flipped,model,lower,median,upper
314,1,140.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
315,1,140.0,same,bq,97.5254729985,99.7733570771,99.9995101927
316,1,140.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
317,1,140.0,same,exp,73.6163335095,81.8927796724,88.5633147829
318,1,140.0,same,expA,72.0673669519,83.7706865018,92.1332515998
319,1,140.0,same,expB,67.4173103886,79.79820227,89.2265969234
320,1,140.0,same,gs,33.3178245599,90.4474181962,99.978309153
321,1,140.0,same,hc,97.5254729985,99.7733570771,99.9995101927
322,1,140.0,same,oc,97.5254729985,99.7733570771,99.9995101927
323,1,140.0,same,th,97.5254729985,99.7733570771,99.9995101927
324,1,160.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
325,1,160.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
326,1,160.0,flipped,exp,82.9876070348,89.8653094068,94.7415324709
327,1,160.0,flipped,expA,76.9289485763,87.7425603563,94.832577549
328,1,160.0,flipped,expB,82.0933850382,91.7129443889,97.2392909008
329,1,160.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
330,1,160.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
331,1,160.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
332,1,160.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
333,1,160.0,same,bq,97.5254729985,99.7733570771,99.9995101927
334,1,160.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
335,1,160.0,same,exp,68.8652595169,77.6838680426,85.093702286
336,1,160.0,same,expA,56.4472092298,69.8659202661,81.3122867464
337,1,160.0,same,expB,73.9864484929,85.4680355614,93.3754269294
338,1,160.0,same,gs,33.3178245599,90.4474181962,99.978309153
339,1,160.0,same,hc,97.5254729985,99.7733570771,99.9995101927
340,1,160.0,same,oc,97.5254729985,99.7733570771,99.9995101927
341,1,160.0,same,th,97.5254729985,99.7733570771,99.9995101927
342,1,180.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
343,1,180.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
344,1,180.0,flipped,exp,75.8940495297,83.8859911348,90.1724275945
345,1,180.0,flipped,expA,67.4173103886,79.79820227,89.2265969234
346,1,180.0,flipped,expB,76.9289485763,87.7425603563,94.832577549
347,1,180.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
348,1,180.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
349,1,180.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
350,1,180.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
351,1,180.0,same,bq,97.5254729985,99.7733570771,99.9995101927
