model,trial,lower,median,upper
expA,25,2287.61262403,2453.29859432,2638.90805508
expA,26,2237.60796972,2404.21751167,2578.0022005
expA,27,2104.14769407,2247.36738113,2407.60146472
expA,28,2310.65783662,2470.85395705,2660.69935942
expA,29,2141.32967525,2312.65190265,2498.8919452
expA,30,2167.2083083,2350.0628332,2554.80050151
expA,31,2277.60558495,2462.59571821,2653.83626891
expA,32,2345.59585017,2498.04483285,2681.59125163
expA,33,2152.85539604,2304.2888766,2451.02144931
expA,34,2053.98466139,2204.77300786,2368.14947918
expA,35,2229.60624192,2411.84332576,2610.88674401
expA,36,2095.34486136,2256.74052294,2439.88719398
expA,37,2209.96037995,2373.67513245,2543.13070165
expA,38,2132.15676779,2299.94458763,2471.90846225
expA,39,2155.38104511,2321.01032485,2520.68508597
expA,40,2149.38296811,2322.30379841,2490.94397715
expA,41,2242.70927743,2417.40176,2607.59379845
expA,42,2278.41034857,2463.15461235,2656.57895469
expA,43,2271.38095208,2439.75815331,2634.34213738
expA,44,2167.98297596,2320.6811815,2503.6399173
expA,45,2149.74114247,2294.87514734,2446.62221536
expA,46,2108.46111682,2270.35229335,2434.14855891
expA,47,2108.75378953,2265.76482163,2438.56297611
expA,48,2212.87028648,2372.24169109,2528.36452209
expA,49,2142.5174416,2304.54864474,2479.55013038
expA,50,2191.78361129,2344.60600992,2522.43292216
expA,51,2121.63108856,2295.61181296,2493.50326287
expA,52,2162.55698211,2337.45910245,2530.78007125
expA,53,2181.46196601,2332.48956095,2498.47611234
expA,54,2081.45456863,2259.17691817,2445.90553493
expA,55,2156.59949142,2310.91066668,2488.92833217
expA,56,2209.62786655,2385.7583163,2585.29865063
expA,57,2099.75373859,2249.69876892,2426.14612765
expA,58,2164.2019523,2344.09250865,2537.79309245
expA,59,2125.94690579,2284.79439361,2479.90418435
expA,60,2083.23591487,2238.08946641,2405.59962688
expA,61,2104.75681295,2255.67780281,2428.99196531
expA,62,2110.09825776,2282.15024174,2454.90719685
expA,63,2193.85311378,2371.12022717,2565.76186343
expA,64,2096.96475497,2231.30866404,2391.17424091
expA,65,2172.68058215,2337.18026419,2521.85366503
expA,66,2213.29777614,2378.63529574,2579.25141646
expA,67,2114.94642136,2279.10058501,2444.46359896
expA,68,2112.3954175,2249.13251183,2408.95906407
expA,69,2075.37000829,2223.41121605,2402.9383924
expA,70,2039.74958597,2185.51415336,2352.54145398
expA,71,2169.15183645,2334.48031687,2524.10833714
expA,72,2183.73921737,2342.67024482,2528.03622125
expA,73,2009.58805367,2138.82475816,2293.64373298
expA,74,2207.46880237,2407.76702691,2634.7253375
expA,75,2199.00196568,2373.17558962,2562.53432544
expA,76,2195.10138172,2352.69557198,2515.01812336
expA,77,2034.23822746,2199.1857388,2378.90514177
expA,78,2347.24997574,2519.69774069,2707.19707599
expA,79,2112.9808359,2275.86558228,2462.36677421
expA,80,2078.90767833,2229.00302462,2394.94033218
expA,81,2064.63043381,2217.15567555,2396.89427672
expA,82,2122.92464118,2283.91279846,2460.00989754
expA,83,2145.20308161,2312.68077511,2498.39740981
expA,84,2041.2536521,2194.30963568,2348.39446958
expA,85,2222.99945016,2399.70788748,2591.10597008
expA,86,2027.2000839,2178.60649964,2335.69604323
expA,87,2191.74500007,2380.3773366,2589.13877088
expA,88,2058.87906253,2202.04416158,2367.1516063
expA,89,2132.00640774,2292.89086529,2476.5951087
expA,90,2094.82211753,2227.87319725,2377.70147828
expA,91,2081.27875367,2229.87478258,2411.84387535
expA,92,2136.32313823,2292.20690995,2471.83622208
expA,93,2002.86003921,2159.00255995,2319.71172166
expA,94,2126.48728513,2295.68195537,2477.92404692
expA,95,2068.95550941,2226.94735733,2392.93532413
expA,96,2099.26469005,2252.81333325,2421.49129741
expA,97,2036.09094726,2189.09880593,2364.36007151
expA,98,2157.48902386,2309.28292818,2478.57202432
expA,99,2060.19079952,2219.16419357,2385.43475597
expA,100,2071.71281958,2227.14484354,2392.96199275
expB,101,2080.24682945,2231.43264028,2388.58312136
expB,102,2005.41534614,2154.44139669,2304.38933851
expB,103,2029.17124848,2172.21455457,2325.86190983
expB,104,1987.24717905,2123.7034389,2272.26783118
expB,105,1972.1042073,2094.12529156,2240.01289357
expB,106,2013.92488863,2181.46852322,2361.93284391
expB,107,1959.28212475,2108.2047039,2273.04425585
expB,108,2119.51477376,2278.94956826,2453.31761944
expB,109,2063.27825171,2222.36021969,2381.14064861
expB,110,2158.89175254,2314.92267414,2492.69752788
expB,111,2071.68738259,2238.06304314,2404.30135735
expB,112,2189.46985951,2357.13471746,2533.63104089
expB,113,2069.40526843,2227.21434568,2377.49732681
expB,114,2021.01909117,2189.49805881,2367.91511108
expB,115,2013.25170259,2171.17345705,2351.18601096
expB,116,2065.34195042,2221.22206389,2395.22918444
expB,117,2009.95011112,2155.52585126,2325.9926743
expB,118,2063.96495185,2213.52885759,2360.5680382
expB,119,2084.28664611,2231.16537519,2403.50580532
expB,120,2116.21640869,2266.8174402,2446.59276216
expB,121,2136.10221184,2293.20764962,2469.53296008
expB,122,2029.11206447,2185.3975395,2349.5755608
expB,123,2009.06845958,2170.69887792,2353.06473427
expB,124,2211.81894132,2366.24605116,2550.41508602
expB,125,2052.24962163,2205.52728092,2387.41393409
expB,126,2242.75228506,2400.70989087,2586.56649584
expB,127,2156.41152953,2316.99191875,2490.50049383
expB,128,2104.39397647,2276.06022762,2447.53447203
expB,129,2050.02963372,2204.45365236,2361.01937685
expB,130,2091.55459168,2255.98288839,2431.30561991
expB,131,2024.54440917,2201.27858794,2389.01183197
expB,132,2117.44591249,2290.33505595,2472.59588243
expB,133,2118.66621556,2302.47837211,2510.99735284
expB,134,1995.47330583,2153.70388665,2322.91030193
expB,135,2100.29441312,2260.27145349,2428.69430694
expB,136,2125.10626056,2289.74560989,2488.54505643
expB,137,2116.93277934,2278.11802807,2457.66715677
expB,138,2016.77374599,2169.56374345,2350.43056012
expB,139,1990.93522431,2144.53978352,2328.10051907
expB,140,2119.88297493,2300.61032154,2495.54046172
expB,141,2089.71072654,2232.71233912,2404.31528327
expB,142,2045.99288601,2199.74648152,2376.52668626
expB,143,1968.22083187,2113.05330873,2269.13759735
expB,144,2157.76069086,2309.52869024,2501.15179983
expB,145,2042.50792364,2223.72188478,2412.45457086
expB,146,2047.41011255,2203.54603121,2373.56154456
expB,147,2131.83401157,2299.3875943,2499.42247386
expB,148,2128.33124316,2300.69395325,2469.95616386
expB,149,2088.58776686,2259.77851098,2434.93104958
expB,150,2119.53997985,2267.99351606,2447.73149493
expB,151,1942.34680638,2082.27754139,2238.1381063
expB,152,1938.65502764,2070.24351347,2228.53549014
expB,153,1917.61938964,2067.19553263,2219.89926232
expB,154,1942.67014761,2102.62941701,2247.53275083
expB,155,1967.41643126,2102.3556092,2258.20230544
expB,156,1833.89203911,1965.70396888,2109.95783497
